_id,author_details,title,isbn,publisher,date_published,rating,read,series_details,pages,notes,list_price,format,description,genre,language,date_added,last_update_date,book_uuid
11,"Orwell, George|Fromm, Erich",1984,9780451524935,New American Library,1950-07-01,0,0,,328,,,Mass Market Paperback,"The year 1984 has come and gone, but George Orwell's prophetic, nightmarish vision in 1949 of the world we were becoming is timelier than ever. <i>1984</i> is still the great modern classic of ""negative utopia"" -a startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny the novel's hold on the imaginations of whole generations, or the power of its admonitions -a power that seems to grow, not lessen, with the passage of time.",Fiction / Science Fiction / General,,2017-10-15 1:47:15,2017-10-15 1:47:15,29f0cce9593d94b95126a44590bd3a5b
12,"Orwell, George|Baker, Russell|Woodhouse, C.M.",Animal Farm,451526341,Signet Classic,1996,0,0,,139,,9.99,Mass Market Paperback,"<i>Alternate Cover for ISBN 9780451526342</i><br /><br />A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned-a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When <i>Animal Farm</i> was first published fifty years ago, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever an whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwell's masterpiece has meaning and message still ferociously fresh.",Fiction / Literary,English,2017-10-15 1:48:12,2017-10-15 1:48:12,6789eb2b645ba6afa7e2e5213234dc00
13,"Pirsig, Robert M.",Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,553138758,Bantam Books,1979-05,0,0,,373,,,Mass Market Paperback,"One of the most important &amp; influential books written in the past half-century, Robert M. Pirsig's <i>Zen &amp; the Art of Motorcycle Maintenance</i> is a powerfully moving &amp; penetrating examination of how we live, a breathtaking meditation on how to live better. Here is the book that transformed a generation, an unforgettable narration of a summer motorcycle trip across America's Northwest, undertaken by a father &amp; his young son. A story of love &amp; fear--of growth, discovery &amp; acceptance--that becomes a profound personal &amp; philosophical odyssey into life's fundamental questions, this uniquely exhilarating modern classic is both touching &amp; transcendent, resonant with the myriad confusions of existence &amp; the small, essential triumphs that propel us forward.",,,2017-10-15 1:48:36,2017-10-15 1:48:36,653bff12acf683016939888c42fe838a
14,"Stephan, Bernd",Raubritter in Thüringen und ihre Burgen,3897720094,Tauchaer Verlag,1999,0,0,,,,,Gebundene Ausgabe,,,Deutsch,2017-10-15 1:49:58,2017-10-15 1:49:58,249fa43417d60b9a2fbd799a008e2c74
15,"Warsitzka, Wilfried",Wahre Geschichten aus Thüringer Burgen,3910074391,Tauchaer Verlag,1995,0,0,,79,,,Gebundene Ausgabe,,,Deutsch,2017-10-15 1:50:27,2017-10-15 1:50:27,2af7e78dff43c99f5be50668d49f5621
16,"Bielendorfer, Bastian",Lehrerkind: Lebenslänglich Pausenhof,9783492272964,Piper Taschenbuch,2011-11-01,0,0,,304,,,Paperback,"Was wird aus einem Menschen, wenn Mama und Papa Lehrer an der eigenen Schule sind – und somit an jedem Tag im Jahr Elternsprechtag ist, die Mitschüler einen zum Daueropfer ernennen und es bei den Bundesjugendspielen nicht einmal für eine Teilnehmerurkunde reicht? Genau: Er wird selbst Lehrer! Mit gnadenloser Selbstironie schildert Bastian Bielendorfer, wie er der pädagogischen Sippenhaft zu entrinnen versucht, und verrät dabei, welch zarte Seele sich unter so manchem grob gehäkelten Mathelehrerpullunder verbirgt.",,German,2017-10-15 1:50:44,2017-10-15 1:50:44,94babe0921ff7b080f8f3073ef877468
17,"Brussig, Thomas",Am kürzeren Ende der Sonnenallee,9783596148479,Fischer,1999-01-01,0,0,"English, German and German Edition",,,,Paperback,,,English,2017-10-15 1:51:06,2017-10-15 1:51:06,76ae8a80e8b4f6782452d1ff2bd8e8c1
18,"Hoffmann, E.T.A.|Hoffman, ","Die Elixiere des Teufels. Nachgelassene Papiere des Bruders Medardus, eines Kapuziners. Herausgegeben von dem Verfasser der Fantasiestücke in Callots Manier.",9783895070051,SWAN Buch-Vertrieb,1993-04-01,0,0,German Edition,347,,8.95,Paperback,"Manche Romane entfalten, obwohl vor fast 200 Jahren geschrieben, erst heute ihre ganze Wirkung. Waren zeitgenössische Leser von <i>Die Elixiere des Teufels</i> -- erstmals 1815 und 1816 in zwei Bänden erschienen -- eher überfordert, steht der Roman heute als ein Meisterwerk der Fantastik in zahlreichen Bücherschränken.<p> Auf den ersten Blick erzählt Hoffmann eine nicht eben neue Schauergeschichte: Der Bruder Medardus ist ein hoch angesehenes, für seine feurigen Predigten bekanntes Mitglied der Klostergemeinde. Als ihm die Aufsicht über die Reliquienkammer übertragen wird, beginnt jedoch sein Niedergang. Unter den Schätzen befindet sich auch eine Flasche der Elixiere des Teufels, mit denen der Satan vor Jahrhunderten den heiligen Antonius verführen wollte. Ein Schluck aus der Flasche besiegelt seinen Abstieg. Obgleich seine Predigten feuriger denn je werden, verliert er sich in Selbstverliebtheit und entsagt so dem Göttlichen. In der Hoffnung, Medardus Seele zu retten schickt ihn der Prior des Klosters auf die Reise nach Rom. Einmal frei von den Mauern des Klosters, beginnt Medardus Kampf gegen den den Verführer. Seine Reise ist gegprägt von Lügen, Diebstahl und Mord. Immer wieder begegnet er Personen, die ihm erstaunlich ähnlich sind. In diesen findet er all seine Schwächen wieder, er schlüpft in ihre Rollen, versucht ihr Leben und findet letztlich doch wieder zu sich selbst zurück.</p>",,German,2017-10-15 1:51:24,2017-10-15 1:51:24,89832594ae044e981c5f8923e17fccad
19,"Jaud, Tommy|Meyer, Friedemann",Hummeldumm,9783596174768,Fischer Taschenbuchverlag,2012-06-01,0,0,German Edition,303,,,Paperback,"»Sitzreihe 12 war die letzte, die zwischen Tortellini und Hühnchen wählen durfte. Ich saß in Reihe 13. Schon auf dem Hinflug hätte mir klar sein können, dass der Jahresurlaub zum Albtraum wird.«<br /><br />Wer an allem schuld ist, ist für Matze sowieso klar: seine Freundin Sina. Während er in endlosen Verhandlungen die neue Eigentumswohnung klargemacht hat, sollte sie einfach nur »irgendwas« buchen. Hat sie auch. Doch musste dieses »irgendwas« ausgerechnet eine zweiwöchige Gruppenreise durch Namibia sein, ein Land, in dem jede hüftkranke Schildkröte schneller ist als das Internet? Was hat er denn verbrochen, dass man ihn nun täglich in einen Kleinbus voller Bekloppter sperrt, um ihn dann zu österreichischen Schlagern über afrikanische Schotterpisten zu rütteln? Und warum stolpert er bei minus zwei Grad in einem albernen Wanderhut über die Dünen der Kalahari, statt auf Mallorca ein Bierchen zu schlürfen? Als Matze dann noch daran erinnert wird, dass die sicher geglaubte Wohnung an andere Käufer geht, wenn er nicht sofort die fünftausend Euro Reservierungsgebühr überweist, hat er gleich noch drei neue Probleme: Das nächste Internetcafé ist fünfhundert Kilometer entfernt, der Handyakku plattgedaddelt und das einzige Ladegerät fest in österreichischer Hand.<br /><br />»Ich drücke meine Nase ans Busfenster und blicke hinaus ins weite Land. Die Namibier winken uns und lachen. Klar lachen sie, sie sind ja frei. Wir nicht. Wir sind die in Blech gepackte Rache für die deutsche Kolonialzeit.«",,German,2017-10-15 1:51:42,2017-10-15 1:51:42,3d5848a9ce6439615cede24425e0e3b6
20,"Lorentz, Iny",Töchter der Sünde,9783426635247,Knaur,2012-12-20,0,0,Die Wanderhure (5),780,,,Paperback,"Die Geschichte der Wanderhure geht weiter ...<br /><br />Heißblütig, übermütig und einer hübschen Frau niemals abgeneigt – so ist Falko, der Sohn der Wanderhure Marie, die sich auf Burg Kibitzstein zur Ruhe gesetzt hat.<br />Als er sich bei einem Turnier den Zorn eines Gegners zuzieht, sieht der Fürstbischof von Würzburg keine andere Möglichkeit, als Falko für einige Zeit nach Rom zu schicken.<br />Eine gefährliche Mission – nicht nur weil er des Fürstbischofs schöne Nichte in die Ewige Stadt begleiten soll …",,German,2017-10-15 1:52:47,2017-10-15 1:52:47,4bb165f2e8fd19a3fffd92565fe04178
21,"Moor, Dieter",Lieber einmal mehr als mehrmals weniger. Frisches aus der arschlochfreien Zone,9783499627620,Rowohlt,2012-10-01,0,0,,288,,,Paperback,"In dem von unbeugsamen Brandenburgern bevölkerten Dörfchen Amerika scheint sich alles zum Guten gefügt zu haben: Die alpenländischen Aliens, die Moors, sind in die Gemeinschaft der Einheimischen aufgenommen und die anfänglichen Probleme um den Hof gelöst. Doch da gibt der geliebte Hürlimann-Traktor den Geist auf, und auf einmal steht nicht nur der häusliche Friede, sondern auch die Ehre des Neubauern auf dem Spiel. Helfen kann nur Hürli-Gott Jakob aus der Schweiz, auch wenn Bauer Müsebeck, Teddy und Krüpki so ihre Zweifel haben. Als dann auch noch ein Bayer im hellblauen Tangaslip die ersten Wasserbüffel nach Amerika bringt, stehen neue, skurrile und anrührende Herausforderungen ins Haus.",,,2017-10-15 1:53:07,2017-10-15 1:53:07,13ae0e92825d0b379ea5187a42b48bb8
22,"Neuhaus, Nele",Unter Haien,9783548284798,Ullstein,2012-03-09,0,0,German Edition,672,,,Paperback,"New York, 1998: Die junge Investmentbankerin Alex Sontheim ist durch harte Arbeit und Zielstrebigkeit dort angekommen, wo sie immer hinwollte: ganz oben. Als sie den milliardenschweren Geschäftsmann Sergio Vitali kennenlernt, beginnt eine heiße Affäre. Alex genießt es, am Leben der wirklich Mächtigen teilzuhaben und gibt zunächst nichts auf die Stimmen, die sie vor Vitali warnen. Doch dann bringt eine ungeheuerliche Entdeckung Alex in tödliche Gefahr. <br /><br /><a target=""_blank"" href=""http://www.ullsteinbuchverlage.de/ullsteintb/buch.php?id=18738&amp;page=suche&amp;auswahl=a&amp;pagenum=1&amp;page=buchaz"" rel=""nofollow"">http://www.ullsteinbuchverlage.de/ull...</a>",,German,2017-10-15 1:53:38,2017-10-15 1:53:38,a0e73c6bca989946090706c6cbcb6063
23,"Staffel, Tim",Terrordrom. Sonderausgabe,9783548602455,ECON-Taschenbuchverlag,2000-01-01,0,0,,219,,,Paperback,"Jahreswechsel 1999/2000: Berlin versinkt im Frost, nichts geht mehr, die Kanalisation ist vereist, Fäkalien quillen auf die Straßen. Die Stadt wird von Banden durchkämmt. Ein ratlos zorniger Mensch schreibt als V Hassmanifeste. Als er Zeuge eines Amoklaufs wird, läßt er eine seiner Tiraden fallen, die, am Tatort gefunden, als Bekennerbrief gewertet wird. So wird in seinem Namen eine Lawine der Gewalt losgetreten. In der Stadt herrscht Notstand.<br />Im Brandherd der Handlung steht Tom, der Gastgeber einer Talkshow. Er versucht der Situation Erfolg abzugewinnen, indem er sie in Panik ummünzt und so geschickt seine Einschaltquoten hochtreibt. Doch auch er dreht sich längst im Strudel der terroristischen Ereignisse an deren Ende als blutige und letzte Lösung das Terrordrom steht - ein Sperrbezirk mitten in der City, in dem, nach Entrichtung eines Eintrittsgelds, Kriegspielen mit scharfen Waffen aller gegen alle erlaubt ist.",,German,2017-10-15 1:53:52,2017-10-15 1:53:52,ede4c30f94b79b0e94b79df931cd921a
24,"Süskind, Patrick",Das Parfum: Die Geschichte eines Mörders,9783257228007,Diogenes,1994-06-01,0,0,German Edition,368,,28.95,Paperback,"Von Jean-Baptiste Grenouille, dem finsteren Helden, sei nur verraten, daß er 1738 in Paris, in einer stinkigen Fischbude, geboren wird. Die Ammen, denen das Kerlchen an die Brust gelegt wird, halten es nur ein paar Tage mit ihm aus: Er sei zu gierig, außerdem vom Teufel besessen, wofür es untrügliche Indizien gebe: den fehlenden Duft, den unverwechselbaren Geruch, den Säuglinge auszuströmen pflegen.",Fiction / General,German,2017-10-15 1:54:05,2017-10-15 1:54:05,e9e2a26a8c4089f3fb2edbc11547ecd4
25,"d'Exiles, Antoine François Prévost|Prevost, Antoine-Francois|Abbé Prévost, ",Manon Lescaut,9782080708533,Flammarion,1999-01-01,0,0,French Edition,272,,,Broché,"Des Grieux voudrait savoir si la passion est vivable, si le bonheur est possible, si la nature porte en elle-même une finalité, si l'amour, la religion et la norme sociale peuvent se concilier. Autant de questions qui resteront sans réponse. En même temps, il ignore les valeurs morales les plus reconnues, les modèles de succès et de conduite sociale, propres à sa classe. Issu d'une famille honorable, il découvre une société corrompue par rapport à laquelle il reste marginal. Son aventure se développe sur un fond de crise des valeurs, mais il est bien possible qu'il soit lui-même l'exemple le plus frappant de cette crise. D'où un individualisme exaspéré, centré sur la seule passion, sur le mode d'existence le plus intense qui soit. On comprend qu'à cette interrogation, la littérature soit finalement la seule réponse possible.",Fiction / Romance / General,French,2017-10-15 1:54:26,2017-10-15 1:54:26,dbdae4991e53c895f511bc0232b4321b
26,"Gide, André",L'Immoraliste,2070362299,Gallimard,1972-11-17,0,0,French Edition,182,,,Mass Market Paperback,"Un homme se fuit en parcourant le monde, entraînant dans son long voyage son épouse, essayant d’oublier ses pulsions amorales. -<br />Un matin, j'eus une curieuse révélation sur moi-même: Moktir, le seul des protégés de ma femme qui ne m'irritât point, était seul avec moi dans ma chambre. <br />Je me tenais debout auprès du feu, les deux coudes sur la cheminée, devant un livre, et je paraissais absorbé, mais pouvais voir se refléter dans la glace les mouvements de l'enfant à qui je tournais le dos. <br />Une curiosité que je ne m'expliquais pas bien me faisait surveiller ses gestes. Moktir ne se savait pas observé et me croyait plongé dans la lecture. <br />Je le vis s'approcher sans bruit d'une table où Marceline avait posé, près d'un ouvrage, une paire de petits ciseaux, s'en emparer furtivement, et d'un coup les engouffrer dans son burnous.",Fiction / Literary,French,2017-10-15 1:55:11,2017-10-15 1:55:12,7b8c9a6955e777beb2cf13f72b99a5b4
27,"Racine, Jean|Racine, |Solomon, Samuel",Andromaque,9782038716801,Larousse Kingfisher Chambers,2007-05-01,0,0,French Edition,223,,13.95,Paperback,"Oreste aime Hermione, qui aime Pyrrhus, qui aime Andromaque, qui aime Hector, qui est mort... Pris dans une chaîne amoureuse sans issue, comment pourraient-ils s'en sortir ? De fait, quand le rideau s'ouvre, tous les éléments de l'étau tragique sont déjà prêts à se refermer sur les personnages : prisonniers de leurs passions, leur perte est inéluctable. Racine orchestre avec délectation leurs débats impuissants, leurs actions désespérées, et leur terrible fin, pour le plus grand plaisir du spectateur et du lecteur.<br />Modèle par excellence de l'écriture classique, Racine n'en reste pas moins d'une modernité étonnante : sa peinture des rapports humains et sa connaissance du coeur amoureux touchent peut-être plus que jamais. En particulier dans Andromaque qui est sans doute, avec Phèdre, la tragédie où la passion amoureuse est la plus dévastatrice. Et sur scène, depuis sa création en 1667, le succès ininterrompu d'Andromaque est la preuve vivante de cette modernité.",,French,2017-10-15 1:55:32,2017-10-15 1:55:32,85a366605f4f33f3c8869fe6a7e7a568
28,"Molière, ",Le Misanthrope,9782038716689,Larousse,1998-06-01,0,0,French Edition,205,,7.95,Unknown Binding,"<i>Le Misanthrope ou l’Atrabilaire amoureux</i> est une comédie de mœurs en cinq actes et en vers.<br /><br />C’est une des meilleures pièces de théâtre de Molière - et une des plus grandes comédies – se concentrant sur les absurdités de prétentions sociale et littéraire, dans le personage d’un homme qui est prompt à critiquer les fautes des autres, mais reste aveugle au siens.<br />Cette pièce satirise les hypocrisies de la société aristocratique française, mais elle engage aussi un ton plus sérieux en indiquant les défauts qui sont propres à tous les humains. La pièce est différente d’autres farces du temps par l’emploi des personnages dynamiques comme Alceste et Célimène, par opposition aux personnages traditionnellement pâle utilisé par la plupart des satiristes pour critiquer les problèmes de la société. Elle diffère aussi de la plupart d’autres œuvres de Molière en se concentrant davantage sur le développement du caractère et de nuances que sur la progression de l’intrigue. La pièce, pas un succès commercial en son temps, est de nos jours considérée comme la pièce la plus connue de son œuvre.",,French,2017-10-15 1:55:53,2017-10-15 1:56:19,b96176eb005d1dbe50e987f8e36cf544
